"","date","observed_incidence","CI_down_observed_incidence","CI_up_observed_incidence","smoothed_incidence","CI_down_smoothed_incidence","CI_up_smoothed_incidence","deconvolved_incidence","CI_down_deconvolved_incidence","CI_up_deconvolved_incidence","Re_estimate","CI_down_Re_estimate","CI_up_Re_estimate","Re_highHPD","Re_lowHPD","bootstrapped_CI_down_Re_estimate","bootstrapped_CI_up_Re_estimate","observation_type","influenza_type","measuring_period","max_incidence","scaling_type"
"1",2021-12-01,NA,NA,NA,NA,NA,NA,15.1751119961476,8.86388087477198,21.4863431175233,NA,NA,NA,NA,NA,NA,NA,"ARA Werdhölzli","IAV","2021/22",58,"Minimum measurement is 1 case"
"2",2021-12-02,NA,NA,NA,NA,NA,NA,17.5477468651871,11.9530166649587,23.1424770654156,NA,NA,NA,NA,NA,NA,NA,"ARA Werdhölzli","IAV","2021/22",58,"Minimum measurement is 1 case"
"3",2021-12-03,12.4731688671317,4.4656042090707,20.4807335251927,14.9407645762701,8.60377189644607,21.2777572560941,20.2019731342953,15.0401529372899,25.3637933313007,NA,NA,NA,NA,NA,NA,NA,"ARA Werdhölzli","IAV","2021/22",58,"Minimum measurement is 1 case"
"4",2021-12-04,12.0837213015907,3.71686881685973,20.4505737863217,16.9423725859569,11.2222032730712,22.6625418988426,22.085269777047,17.0283676613068,27.1421718927871,NA,NA,NA,NA,NA,NA,NA,"ARA Werdhölzli","IAV","2021/22",58,"Minimum measurement is 1 case"
"5",2021-12-05,13.0401781644097,3.59885186129742,22.4815044675221,19.2606448463062,14.0010642091391,24.5202254834734,23.5577628766479,18.4490129545865,28.6665127987093,1.60614455470476,1.24189555516038,2.01652227030402,2.01652227030402,1.24189555516038,1.39015439318162,1.8221347162279,"ARA Werdhölzli","IAV","2021/22",58,"Minimum measurement is 1 case"
"6",2021-12-06,16.6884438839487,4.72213338498668,28.6547543829107,21.1163992429451,16.0661570752276,26.1666414106626,24.8865672030677,19.5586287667144,30.214505639421,1.36979658677,1.06896715872151,1.7073579303514,1.7073579303514,1.06896715872151,1.18663542277597,1.55295775076403,"ARA Werdhölzli","IAV","2021/22",58,"Minimum measurement is 1 case"
"7",2021-12-07,23.6939458190931,9.94382825105699,37.4440633871292,22.6962317666745,17.6819228541484,27.7105406792005,25.3071225752345,19.8197806335738,30.7944645168953,1.23898933465046,0.972520636138057,1.53723307941414,1.53723307941414,0.972520636138057,1.08503626032333,1.39294240897759,"ARA Werdhölzli","IAV","2021/22",58,"Minimum measurement is 1 case"
"8",2021-12-08,32.0002030508305,18.773181193553,45.2272249081079,24.1661903897856,18.9978642236586,29.3345165559126,25.4189792358634,19.8424510488941,30.9955074228326,1.15257175872266,0.907569171697809,1.42640662155079,1.42640662155079,0.907569171697809,1.02259686354461,1.2825466539007,"ARA Werdhölzli","IAV","2021/22",58,"Minimum measurement is 1 case"
"9",2021-12-09,38.8702575906739,26.5738739388515,51.1666412424962,24.8223574880609,19.4960650127712,30.1486499633506,25.5165029763841,19.9138909150665,31.1191150377017,1.08937607190307,0.858706771137296,1.34707194476692,1.34707194476692,0.858706771137296,0.978234889546841,1.2005172542593,"ARA Werdhölzli","IAV","2021/22",58,"Minimum measurement is 1 case"
"10",2021-12-10,41.5671514501362,29.2450009881168,53.8893019121557,25.1452948940997,19.7060205719648,30.5845692162347,24.931571582665,19.441883927048,30.421259238282,1.0411390200044,0.820172218156857,1.2880633414099,1.2880633414099,0.820172218156857,0.942962007235582,1.13931603277322,"ARA Werdhölzli","IAV","2021/22",58,"Minimum measurement is 1 case"
