"date","observed_incidence","CI_down_observed_incidence","CI_up_observed_incidence","smoothed_incidence","CI_down_smoothed_incidence","CI_up_smoothed_incidence","deconvolved_incidence","CI_down_deconvolved_incidence","CI_up_deconvolved_incidence","Re_estimate","CI_down_Re_estimate","CI_up_Re_estimate","Re_highHPD","Re_lowHPD","bootstrapped_CI_down_Re_estimate","bootstrapped_CI_up_Re_estimate","observation_type","influenza_type","measuring_period"
2021-11-02,0.200045305961075,0.200045305961075,0.200045305961075,0.177576207081647,0.0974402195626856,0.257712194600607,0.0993527606102517,0.0888327515591462,0.109872769661357,NA,NA,NA,NA,NA,NA,NA,"All provided data","A","2021/22"
2021-11-03,0.176275045966694,0.176275045966694,0.176275045966694,0.151266897733494,0.0932089354282464,0.209324860038741,0.0902055127383395,0.0741856089335039,0.106225416543175,NA,NA,NA,NA,NA,NA,NA,"All provided data","A","2021/22"
2021-11-04,0.142857142857143,0.142857142857143,0.142857142857143,0.128909903264858,0.0929823558719841,0.164837450657733,0.0845130497796619,0.0552955058705251,0.113730593688799,NA,NA,NA,NA,NA,NA,NA,"All provided data","A","2021/22"
2021-11-05,0.0984384274486584,0.0984384274486584,0.0984384274486584,0.112758003846234,0.0939462265654238,0.131569781127044,0.0890310431275515,0.0409742638908347,0.137087822364268,NA,NA,NA,NA,NA,NA,NA,"All provided data","A","2021/22"
2021-11-06,0.0489996054234321,0.0489996054234321,0.0489996054234321,0.10127013256534,0.085192881677523,0.117347383453157,0.111672516856038,0.0341825315673911,0.189162502144685,NA,NA,NA,NA,NA,NA,NA,"All provided data","A","2021/22"
2021-11-07,0.00235485118014483,0.00235485118014483,0.00235485118014483,0.0929052225098952,0.0661250755702982,0.119685369449492,0.152372122521533,0.032612306313945,0.272131938729121,NA,NA,NA,NA,NA,NA,NA,"All provided data","A","2021/22"
2021-11-08,0,0,0,0.0946951415225907,0.0518145766339672,0.137575706411214,0.209200780681316,0.0385707124879409,0.379830848874691,NA,NA,NA,NA,NA,NA,NA,"All provided data","A","2021/22"
2021-11-09,0,0,0,0.113533967088687,0.0450042519905264,0.182063682186848,0.27573686556535,0.0649428964189454,0.486530834711755,NA,NA,NA,NA,NA,NA,NA,"All provided data","A","2021/22"
2021-11-10,0,0,0,0.14767394675976,0.0435208754219658,0.251827018097555,0.348968842766552,0.118626511962834,0.579311173570269,NA,NA,NA,NA,NA,NA,NA,"All provided data","A","2021/22"
2021-11-11,0,0,0,0.195367328087384,0.048591517500746,0.342143138674023,0.431974202332941,0.192246214124269,0.671702190541614,NA,NA,NA,NA,NA,NA,NA,"All provided data","A","2021/22"
