"sample_date","wwtp","measuring_period","measurement_type","value"
2021-11-24,"ARA Basel","2021/22","IAV_gc_per_day",0
2021-11-24,"ARA Basel","2021/22","IBV_gc_per_day",0
2021-11-26,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2021-11-26,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2021-11-26,"ARA Basel","2021/22","IAV_gc_per_day",0
2021-11-26,"ARA Basel","2021/22","IBV_gc_per_day",0
2021-11-29,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2021-11-29,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2021-11-29,"ARA Basel","2021/22","IAV_gc_per_day",0
2021-11-29,"ARA Basel","2021/22","IBV_gc_per_day",0
2021-12-01,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2021-12-01,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2021-12-01,"ARA Basel","2021/22","IAV_gc_per_day",0
2021-12-01,"ARA Basel","2021/22","IBV_gc_per_day",0
2021-12-03,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2021-12-03,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2021-12-03,"ARA Basel","2021/22","IAV_gc_per_day",0
2021-12-03,"ARA Basel","2021/22","IBV_gc_per_day",0
2021-12-05,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2021-12-05,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2021-12-05,"ARA Basel","2021/22","IAV_gc_per_day",0
2021-12-05,"ARA Basel","2021/22","IBV_gc_per_day",0
2021-12-07,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2021-12-07,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2021-12-07,"ARA Basel","2021/22","IAV_gc_per_day",0
2021-12-07,"ARA Basel","2021/22","IBV_gc_per_day",0
2021-12-09,"ARA Basel","2021/22","IAV_gc_per_mL_WW",19
2021-12-09,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2021-12-09,"ARA Basel","2021/22","IAV_gc_per_day",1.6777e+12
2021-12-09,"ARA Basel","2021/22","IBV_gc_per_day",0
2021-12-12,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2021-12-12,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2021-12-12,"ARA Basel","2021/22","IAV_gc_per_day",0
2021-12-12,"ARA Basel","2021/22","IBV_gc_per_day",0
2021-12-14,"ARA Basel","2021/22","IAV_gc_per_mL_WW",114
2021-12-14,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2021-12-14,"ARA Basel","2021/22","IAV_gc_per_day",6.6234e+12
2021-12-14,"ARA Basel","2021/22","IBV_gc_per_day",0
2021-12-15,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2021-12-15,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2021-12-15,"ARA Basel","2021/22","IAV_gc_per_day",0
2021-12-15,"ARA Basel","2021/22","IBV_gc_per_day",0
2021-12-18,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2021-12-18,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2021-12-18,"ARA Basel","2021/22","IAV_gc_per_day",0
2021-12-18,"ARA Basel","2021/22","IBV_gc_per_day",0
2021-12-20,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0.05
2021-12-20,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2021-12-20,"ARA Basel","2021/22","IAV_gc_per_day",3.125e+09
2021-12-20,"ARA Basel","2021/22","IBV_gc_per_day",0
2021-12-22,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2021-12-22,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2021-12-22,"ARA Basel","2021/22","IAV_gc_per_day",0
2021-12-22,"ARA Basel","2021/22","IBV_gc_per_day",0
2021-12-26,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2021-12-26,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2021-12-26,"ARA Basel","2021/22","IAV_gc_per_day",0
2021-12-26,"ARA Basel","2021/22","IBV_gc_per_day",0
2021-12-28,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2021-12-28,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2021-12-28,"ARA Basel","2021/22","IAV_gc_per_day",0
2021-12-28,"ARA Basel","2021/22","IBV_gc_per_day",0
2021-12-29,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2021-12-29,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2021-12-29,"ARA Basel","2021/22","IAV_gc_per_day",0
2021-12-29,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-01-02,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0.05
2022-01-02,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-01-02,"ARA Basel","2021/22","IAV_gc_per_day",2.995e+09
2022-01-02,"ARA Basel","2021/22","IBV_gc_per_day",0
