"","date","observed_incidence","CI_down_observed_incidence","CI_up_observed_incidence","smoothed_incidence","CI_down_smoothed_incidence","CI_up_smoothed_incidence","deconvolved_incidence","CI_down_deconvolved_incidence","CI_up_deconvolved_incidence","Re_estimate","CI_down_Re_estimate","CI_up_Re_estimate","Re_highHPD","Re_lowHPD","bootstrapped_CI_down_Re_estimate","bootstrapped_CI_up_Re_estimate","observation_type","influenza_type","measuring_period","max_incidence","scaling_type"
"1",2021-12-01,NA,NA,NA,NA,NA,NA,15.251388758704,9.14909464321631,21.3536828741918,NA,NA,NA,NA,NA,NA,NA,"ARA Werdhölzli","IAV","2021/22",55,"Minimum measurement is 1 case"
"2",2021-12-02,NA,NA,NA,NA,NA,NA,17.4803949607164,11.9677014250275,22.9930884964054,NA,NA,NA,NA,NA,NA,NA,"ARA Werdhölzli","IAV","2021/22",55,"Minimum measurement is 1 case"
"3",2021-12-03,12.4731688671317,5.88894235611955,19.0573953781438,15.0240872229412,8.90877635253439,21.139398093348,19.9479376228855,14.8598311153744,25.0360441303966,NA,NA,NA,NA,NA,NA,NA,"ARA Werdhölzli","IAV","2021/22",55,"Minimum measurement is 1 case"
"4",2021-12-04,13.878260539404,6.7370193466782,21.0195017321299,16.9082031082369,11.291048825909,22.5253573905647,21.7616881766612,16.910893645468,26.6124827078544,NA,NA,NA,NA,NA,NA,NA,"ARA Werdhölzli","IAV","2021/22",55,"Minimum measurement is 1 case"
"5",2021-12-05,15.2833522116764,7.21979205615068,23.3469123672021,19.0659827465552,13.8557831166043,24.276182376506,23.213261815855,18.4882526203692,27.9382710113408,1.59254124191354,1.22899281054511,2.00247620303809,2.00247620303809,1.22899281054511,1.41175455812577,1.77332792570131,"ARA Werdhölzli","IAV","2021/22",55,"Minimum measurement is 1 case"
"6",2021-12-06,16.6884438839487,3.66528148585164,29.7116062820458,20.8445514617836,15.9192224524008,25.7698804711664,24.4938004511654,19.7978713659646,29.1897295363662,1.36215760834715,1.06087727284259,1.70052191221588,1.70052191221588,1.06087727284259,1.2053235324944,1.51899168419989,"ARA Werdhölzli","IAV","2021/22",55,"Minimum measurement is 1 case"
"7",2021-12-07,22.9081207754956,13.3636222536452,32.4526192973459,22.3855270023233,17.6399260329595,27.131127971687,24.95922328262,20.3609177990019,29.5575287662381,1.23588817820106,0.968233679492581,1.53571078501475,1.53571078501475,0.968233679492581,1.10215315439988,1.36962320200223,"ARA Werdhölzli","IAV","2021/22",55,"Minimum measurement is 1 case"
"8",2021-12-08,29.1277976670425,22.3498398912261,35.9057554428589,23.7959323483333,19.1215353708431,28.4703293258235,25.1391121247949,20.6567971389785,29.6214271106112,1.15273235354059,0.906128825255437,1.42856610375652,1.42856610375652,0.906128825255437,1.03869064680012,1.26677406028107,"ARA Werdhölzli","IAV","2021/22",55,"Minimum measurement is 1 case"
"9",2021-12-09,35.3474745585894,27.6061358148575,43.0888133023212,24.4770158113351,19.8997197549196,29.0543118677506,25.2247661127016,20.9153865716964,29.5341456537069,1.09140383785574,0.85898575042382,1.351228850523,1.351228850523,0.85898575042382,0.993643452748444,1.18916422296304,"ARA Werdhölzli","IAV","2021/22",55,"Minimum measurement is 1 case"
"10",2021-12-10,41.5671514501362,29.6386476604363,53.4956552398362,24.8543970219868,20.3804724910067,29.3283215529669,24.6806893890202,20.665071962215,28.6963068158254,1.04380287882257,0.821134966652585,1.29277951921714,1.29277951921714,0.821134966652585,0.957823071345163,1.12978268629998,"ARA Werdhölzli","IAV","2021/22",55,"Minimum measurement is 1 case"
"11",2021-12-11,35.9497889534609,25.7692899979908,46.130287908931,25.0991028598405,20.7694252535219,29.4287804661592,23.8162346394116,20.0109726554672,27.621496623356,1.00293876820619,0.787196510538989,1.2444127016472,1.2444127016472,0.787196510538989,0.923796305885566,1.08208123052682,"ARA Werdhölzli","IAV","2021/22",55,"Minimum measurement is 1 case"
"12",2021-12-12,30.3324264567856,20.9368570914118,39.7279958221594,24.7486640424796,20.6778205668897,28.8195075180695,22.8663676988309,19.2777172871497,26.455018110512,0.964857016413224,0.754121147488523,1.20116432044672,1.20116432044672,0.754121147488523,0.888663998977391,1.04105003384906,"ARA Werdhölzli","IAV","2021/22",55,"Minimum measurement is 1 case"
"13",2021-12-13,24.7150639601102,11.3910151948429,38.0391127253775,24.0660193236412,20.2035553181597,27.9284833291227,21.2118539236768,17.9639976375425,24.4597102098112,0.925977039028607,0.718964084198917,1.15878275917206,1.15878275917206,0.718964084198917,0.850770673580291,1.00118340447692,"ARA Werdhölzli","IAV","2021/22",55,"Minimum measurement is 1 case"
"14",2021-12-14,22.4907078685021,11.9885491150448,32.9928666219594,23.281534439465,19.6296917057517,26.9333771731782,19.3723754556913,16.314719731127,22.4300311802556,0.886219730927188,0.681736473560256,1.11711413372924,1.11711413372924,0.681736473560256,0.813357612508341,0.959081849346034,"ARA Werdhölzli","IAV","2021/22",55,"Minimum measurement is 1 case"
"15",2021-12-15,20.2663517768939,13.0683598440198,27.4643437097681,21.8217252512604,18.5002722336228,25.1431782688979,17.6287197092069,14.8035723500791,20.4538670683348,0.846024354741057,0.642833022612265,1.07669307101289,1.07669307101289,0.642833022612265,0.77568080196009,0.916367907522024,"ARA Werdhölzli","IAV","2021/22",55,"Minimum measurement is 1 case"
