"region","data_type","date","median_R_mean","median_R_highHPD","median_R_lowHPD"
"ZH","infection_norm_n1",2020-10-05,1.39584749630462,2.24614578429183,0.745853216828805
"ZH","infection_norm_n1",2020-10-06,1.34468610402694,2.14131735335117,0.731573663617825
"ZH","infection_norm_n1",2020-10-07,1.31175517896062,2.06802026461148,0.725935028682402
"ZH","infection_norm_n1",2020-10-08,1.30210785435321,2.02922943113748,0.73468514812209
"ZH","infection_norm_n1",2020-10-09,1.32028417827236,2.02839994002959,0.762668796885614
"ZH","infection_norm_n1",2020-10-10,1.36001492176951,2.05557088363004,0.806640506011103
"ZH","infection_norm_n1",2020-10-11,1.40930995077239,2.09381903927164,0.85888557796011
"ZH","infection_norm_n1",2020-10-12,1.45611136672092,2.12689422741975,0.91106231884931
"ZH","infection_norm_n1",2020-10-13,1.49199130998428,2.14417636701574,0.956792544983261
"ZH","infection_norm_n1",2020-10-14,1.51259506942925,2.14107424950909,0.992120315237745
"ZH","infection_norm_n1",2020-10-15,1.51874434135036,2.11979423658375,1.01679648641073
"ZH","infection_norm_n1",2020-10-16,1.50572596203962,2.0761135586334,1.02592954243292
"ZH","infection_norm_n1",2020-10-17,1.46614414705033,2.0026120177169,1.01237782094113
"ZH","infection_norm_n1",2020-10-18,1.39979814978663,1.90021440479853,0.974992937238341
"ZH","infection_norm_n1",2020-10-19,1.31925214682889,1.78453923523931,0.923450822708871
"ZH","infection_norm_n1",2020-10-20,1.23772679010389,1.67158179112033,0.868319081103815
"ZH","infection_norm_n1",2020-10-21,1.15721914970055,1.56377871992094,0.811171450810479
"ZH","infection_norm_n1",2020-10-22,1.0739399430382,1.45640537539948,0.74907372955836
"ZH","infection_norm_n1",2020-10-23,0.992252719484342,1.35408269858582,0.686038106575835
"ZH","infection_norm_n1",2020-10-24,0.92346515483636,1.26973538081936,0.631711482830134
"ZH","infection_norm_n1",2020-10-25,0.87367093958389,1.2104230451323,0.591204630981144
"ZH","infection_norm_n1",2020-10-26,0.836643030870766,1.16864504241467,0.559508460671188
"ZH","infection_norm_n1",2020-10-27,0.806795284575903,1.13740168972436,0.532339474180955
"ZH","infection_norm_n1",2020-10-28,0.790581645831547,1.12400251533677,0.515187560695733
"ZH","infection_norm_n1",2020-10-29,0.798717545262149,1.14114302671416,0.516718016039894
"ZH","infection_norm_n1",2020-10-30,0.830388138745475,1.1876829866388,0.536336113534703
"ZH","infection_norm_n1",2020-10-31,0.875778406209613,1.25116192793641,0.566624935063017
"ZH","infection_norm_n1",2020-11-01,0.934474393331647,1.32991733136676,0.6080495593151
"ZH","infection_norm_n1",2020-11-02,1.00471462605514,1.42061297037039,0.660062401362811
"ZH","infection_norm_n1",2020-11-03,1.07382734680546,1.50708754029315,0.713189113356587
"ZH","infection_norm_n1",2020-11-04,1.12739005783078,1.57153180472881,0.756194961014847
"ZH","infection_norm_n1",2020-11-05,1.16293408788111,1.61101705788361,0.787061251359743
"ZH","infection_norm_n1",2020-11-06,1.18435491936884,1.6308806063437,0.808460145879831
"ZH","infection_norm_n1",2020-11-07,1.18645020628992,1.62612657458224,0.815299404773096
"ZH","infection_norm_n1",2020-11-08,1.16236562124341,1.58978620555166,0.801116929998618
"ZH","infection_norm_n1",2020-11-09,1.12045827077215,1.53259048063797,0.772147276546806
"ZH","infection_norm_n1",2020-11-10,1.07552325200602,1.47276231355713,0.740017920279129
"ZH","infection_norm_n1",2020-11-11,1.03629130733528,1.42120462189156,0.711487122351809
"ZH","infection_norm_n1",2020-11-12,1.00323355750688,1.37870251407268,0.686782061836676
"ZH","infection_norm_n1",2020-11-13,0.976227390287665,1.34497446815217,0.665902094606356
"ZH","infection_norm_n1",2020-11-14,0.960742728464865,1.32619448767677,0.653540001033003
"ZH","infection_norm_n1",2020-11-15,0.961853444609626,1.32808795337661,0.654042006814465
"ZH","infection_norm_n1",2020-11-16,0.976253765720424,1.34640447538426,0.664937339323293
"ZH","infection_norm_n1",2020-11-17,0.99813442937516,1.37373830896711,0.681846487980898
"ZH","infection_norm_n1",2020-11-18,1.02409258792024,1.40546158805159,0.702412045901924
"ZH","infection_norm_n1",2020-11-19,1.05295472447876,1.43971333436727,0.726015603046488
"ZH","infection_norm_n1",2020-11-20,1.08176521067138,1.47274727246484,0.750420621763863
"ZH","infection_norm_n1",2020-11-21,1.10453711712229,1.49744526198743,0.770741818214421
"ZH","infection_norm_n1",2020-11-22,1.11721519523418,1.50912797387999,0.783558021922958
"ZH","infection_norm_n1",2020-11-23,1.12121819193422,1.50970675650864,0.789861293856877
"ZH","infection_norm_n1",2020-11-24,1.11891470031458,1.50235400819452,0.791327442828897
"ZH","infection_norm_n1",2020-11-25,1.11168919885273,1.48909761695824,0.788808327011199
"ZH","infection_norm_n1",2020-11-26,1.10084746597066,1.47176563930571,0.783168516316906
"ZH","infection_norm_n1",2020-11-27,1.08875174481993,1.45330080110127,0.776242805262255
"ZH","infection_norm_n1",2020-11-28,1.07803909415246,1.43688151122123,0.770159992723991
"ZH","infection_norm_n1",2020-11-29,1.06952793692347,1.42350211300176,0.765575053131556
"ZH","infection_norm_n1",2020-11-30,1.06136405267614,1.41098843057381,0.760944045765837
"ZH","infection_norm_n1",2020-12-01,1.05222299827103,1.39773676187287,0.755200464701972
"ZH","infection_norm_n1",2020-12-02,1.04263081884389,1.38430445522667,0.748825044867435
"ZH","infection_norm_n1",2020-12-03,1.0329471347552,1.37110628037206,0.742121791267743
"ZH","infection_norm_n1",2020-12-04,1.02181051614358,1.35658770528559,0.733926013335521
