"region","data_type","date","median_R_mean","median_R_highHPD","median_R_lowHPD"
"ZH","infection_norm_n1",2021-10-01,1.04601271394971,1.33066439186943,0.761361036029995
"ZH","infection_norm_n1",2021-10-02,1.06111754122234,1.3640247693843,0.758210313060386
"ZH","infection_norm_n1",2021-10-03,1.07756969832249,1.39351200632906,0.761627390315923
"ZH","infection_norm_n1",2021-10-04,1.09340952692543,1.40615397270027,0.780665081150585
"ZH","infection_norm_n1",2021-10-05,1.1029546180805,1.3927321203299,0.813177115831111
"ZH","infection_norm_n1",2021-10-06,1.1034637570969,1.36412741709024,0.842800097103558
"ZH","infection_norm_n1",2021-10-07,1.10261118661767,1.34532307831585,0.859899294919485
"ZH","infection_norm_n1",2021-10-08,1.10737430202058,1.34352300030765,0.871225603733515
"ZH","infection_norm_n1",2021-10-09,1.11582622955002,1.35148528406561,0.880167175034428
"ZH","infection_norm_n1",2021-10-10,1.12158111971804,1.36362122933211,0.879541010103976
"ZH","infection_norm_n1",2021-10-11,1.12481726047534,1.37571439289604,0.873920128054633
"ZH","infection_norm_n1",2021-10-12,1.13332030975105,1.38734035731732,0.879300262184779
"ZH","infection_norm_n1",2021-10-13,1.15327889770828,1.40742775314086,0.899130042275688
"ZH","infection_norm_n1",2021-10-14,1.1763360088464,1.43636102686141,0.916310990831385
"ZH","infection_norm_n1",2021-10-15,1.19092183152665,1.46020040794088,0.92164325511242
"ZH","infection_norm_n1",2021-10-16,1.19348751149695,1.46922226606038,0.917752756933517
"ZH","infection_norm_n1",2021-10-17,1.19446080776193,1.46974073380221,0.919180881721662
"ZH","infection_norm_n1",2021-10-18,1.20335365369712,1.46847552027097,0.938231787123281
"ZH","infection_norm_n1",2021-10-19,1.21607390196775,1.46516365784204,0.966984146093463
"ZH","infection_norm_n1",2021-10-20,1.22341607877588,1.45869419581407,0.988137961737692
"ZH","infection_norm_n1",2021-10-21,1.22273988737624,1.45261163360351,0.992868141148964
"ZH","infection_norm_n1",2021-10-22,1.21674039854296,1.46110551510116,0.972375281984761
