"sample_date","wwtp","measuring_period","measurement_type","mean","min","max","n_measurements"
2022-01-02,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-01-02,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-01-04,"ARA Basel","2021/22","IAV_gc_per_day",908315920000,908315920000,908315920000,1
2022-01-04,"ARA Basel","2021/22","IAV_gc_per_mL_WW",11.92,11.92,11.92,1
2022-01-04,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-01-04,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-01-06,"ARA Basel","2021/22","IAV_gc_per_day",543195520000,543195520000,543195520000,1
2022-01-06,"ARA Basel","2021/22","IAV_gc_per_mL_WW",8.12,8.12,8.12,1
2022-01-06,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-01-06,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-01-08,"ARA Basel","2021/22","IAV_gc_per_day",549858400000,549858400000,549858400000,1
2022-01-08,"ARA Basel","2021/22","IAV_gc_per_mL_WW",8.3,8.3,8.3,1
2022-01-08,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-01-08,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-01-10,"ARA Basel","2021/22","IAV_gc_per_day",2319898560000,2319898560000,2319898560000,1
2022-01-10,"ARA Basel","2021/22","IAV_gc_per_mL_WW",31.04,31.04,31.04,1
2022-01-10,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-01-10,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-01-12,"ARA Basel","2021/22","IAV_gc_per_day",812410560000,812410560000,812410560000,1
2022-01-12,"ARA Basel","2021/22","IAV_gc_per_mL_WW",12.48,12.48,12.48,1
2022-01-12,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-01-12,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-01-14,"ARA Basel","2021/22","IAV_gc_per_day",331826880000,331826880000,331826880000,1
2022-01-14,"ARA Basel","2021/22","IAV_gc_per_mL_WW",5.28,5.28,5.28,1
2022-01-14,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-01-14,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-01-16,"ARA Basel","2021/22","IAV_gc_per_day",617259960000,617259960000,617259960000,1
2022-01-16,"ARA Basel","2021/22","IAV_gc_per_mL_WW",10.42,10.42,10.42,1
2022-01-16,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-01-16,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-01-18,"ARA Basel","2021/22","IAV_gc_per_day",0,0,0,1
2022-01-18,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0,0,0,1
2022-01-18,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-01-18,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-01-20,"ARA Basel","2021/22","IAV_gc_per_day",714498120000,714498120000,714498120000,1
2022-01-20,"ARA Basel","2021/22","IAV_gc_per_mL_WW",13.32,13.32,13.32,1
2022-01-20,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-01-20,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-01-23,"ARA Basel","2021/22","IAV_gc_per_day",583041760000,583041760000,583041760000,1
2022-01-23,"ARA Basel","2021/22","IAV_gc_per_mL_WW",10.16,10.16,10.16,1
2022-01-23,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-01-23,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-01-25,"ARA Basel","2021/22","IAV_gc_per_day",0,0,0,1
2022-01-25,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0,0,0,1
2022-01-25,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-01-25,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-01-30,"ARA Basel","2021/22","IAV_gc_per_day",0,0,0,1
2022-01-30,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0,0,0,1
2022-01-30,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-01-30,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-02-01,"ARA Basel","2021/22","IAV_gc_per_day",511109200000,511109200000,511109200000,1
2022-02-01,"ARA Basel","2021/22","IAV_gc_per_mL_WW",7.12,7.12,7.12,1
2022-02-01,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-02-01,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-02-03,"ARA Basel","2021/22","IAV_gc_per_day",360947600000,360947600000,360947600000,1
2022-02-03,"ARA Basel","2021/22","IAV_gc_per_mL_WW",5.2,5.2,5.2,1
2022-02-03,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-02-03,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-02-06,"ARA Basel","2021/22","IAV_gc_per_day",438669760000,438669760000,438669760000,1
2022-02-06,"ARA Basel","2021/22","IAV_gc_per_mL_WW",7.58,7.58,7.58,1
2022-02-06,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-02-06,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-02-09,"ARA Basel","2021/22","IAV_gc_per_day",800788240000,800788240000,800788240000,1
2022-02-09,"ARA Basel","2021/22","IAV_gc_per_mL_WW",12.88,12.88,12.88,1
2022-02-09,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-02-09,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-02-11,"ARA Basel","2021/22","IAV_gc_per_day",1399614080000,1399614080000,1399614080000,1
2022-02-11,"ARA Basel","2021/22","IAV_gc_per_mL_WW",10.88,10.88,10.88,1
2022-02-11,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-02-11,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-02-13,"ARA Basel","2021/22","IAV_gc_per_day",225880920000,225880920000,225880920000,1
2022-02-13,"ARA Basel","2021/22","IAV_gc_per_mL_WW",3.98,3.98,3.98,1
2022-02-13,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-02-13,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-02-16,"ARA Basel","2021/22","IAV_gc_per_day",959058120000,959058120000,959058120000,1
2022-02-16,"ARA Basel","2021/22","IAV_gc_per_mL_WW",13.56,13.56,13.56,1
2022-02-16,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-02-16,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-02-17,"ARA Basel","2021/22","IAV_gc_per_day",1241224320000,1241224320000,1241224320000,1
2022-02-17,"ARA Basel","2021/22","IAV_gc_per_mL_WW",13.44,13.44,13.44,1
2022-02-17,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-02-17,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-02-18,"ARA Basel","2021/22","IAV_gc_per_day",4.414384e+12,4.414384e+12,4.414384e+12,1
