"sample_date","wwtp","measuring_period","measurement_type","mean","min","max","n_measurements"
2021-12-27,"STEP Aire","2021/22","IAV_gc_per_mL_WW",10.555685418,9.209873464,13.22229549,3
2021-12-27,"STEP Aire","2021/22","IBV_gc_per_day",0,0,0,3
2021-12-27,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0,0,0,3
2021-12-31,"STEP Aire","2021/22","IAV_gc_per_day",0,0,0,1
2021-12-31,"STEP Aire","2021/22","IAV_gc_per_mL_WW",0,0,0,1
2021-12-31,"STEP Aire","2021/22","IBV_gc_per_day",0,0,0,1
2021-12-31,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-01-01,"ARA Werdhölzli","2021/22","IAV_gc_per_day",835541074397.182,336174822705.601,1334907326088.76,2
2022-01-01,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",5.1785827695,2.083570991,8.273594548,2
2022-01-01,"ARA Werdhölzli","2021/22","IBV_gc_per_day",168087411352.8,0,336174822705.601,2
2022-01-01,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",1.0417854955,0,2.083570991,2
2022-01-03,"ARA Werdhölzli","2021/22","IAV_gc_per_day",1485539197722.23,1320993239333.07,1650085156111.38,2
2022-01-03,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",9.344632721,8.309573162,10.37969228,2
2022-01-03,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0,0,0,2
2022-01-03,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2022-01-03,"STEP Aire","2021/22","IAV_gc_per_day",563307768753.276,378642693205.112,747972844301.44,2
2022-01-03,"STEP Aire","2021/22","IAV_gc_per_mL_WW",3.5748322635,2.402921087,4.74674344,2
2022-01-03,"STEP Aire","2021/22","IBV_gc_per_day",0,0,0,2
2022-01-03,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2022-01-07,"STEP Aire","2021/22","IAV_gc_per_day",552541535401.918,375545687072.261,729537383731.575,2
2022-01-07,"STEP Aire","2021/22","IAV_gc_per_mL_WW",3.576760478,2.431015381,4.722505575,2
2022-01-07,"STEP Aire","2021/22","IBV_gc_per_day",0,0,0,2
2022-01-07,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2022-01-08,"ARA Werdhölzli","2021/22","IAV_gc_per_day",391217695879.035,389257351837.933,393178039920.138,2
2022-01-08,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",2.061589915,2.05125954,2.07192029,2
2022-01-08,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0,0,0,2
2022-01-08,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2022-01-10,"ARA Werdhölzli","2021/22","IAV_gc_per_day",663026411091.632,0,1326052822183.26,2
2022-01-10,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",2.073964631,0,4.147929262,2
2022-01-10,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0,0,0,2
2022-01-10,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2022-01-10,"STEP Aire","2021/22","IAV_gc_per_day",177500017283.021,0,355000034566.041,2
2022-01-10,"STEP Aire","2021/22","IAV_gc_per_mL_WW",1.0616855215,0,2.123371043,2
2022-01-10,"STEP Aire","2021/22","IBV_gc_per_day",181575417416.746,0,363150834833.493,2
2022-01-10,"STEP Aire","2021/22","IBV_gc_per_mL_WW",1.0860618195,0,2.172123639,2
2022-01-14,"ARA Werdhölzli","2021/22","IAV_gc_per_day",1015555629532.57,688913803178.463,1342197455886.67,2
2022-01-14,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",6.113533107,4.147185266,8.079880948,2
2022-01-14,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0,0,0,2
2022-01-14,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2022-01-14,"STEP Aire","2021/22","IAV_gc_per_day",644121941288.108,640191640063.752,648052242512.464,2
2022-01-14,"STEP Aire","2021/22","IAV_gc_per_mL_WW",4.3411464205,4.314657627,4.367635214,2
2022-01-14,"STEP Aire","2021/22","IBV_gc_per_day",160044923392.528,0,320089846785.056,2
2022-01-14,"STEP Aire","2021/22","IBV_gc_per_mL_WW",1.078644278,0,2.157288556,2
2022-01-17,"ARA Werdhölzli","2021/22","IAV_gc_per_day",1186778257385.09,1002410048276.96,1371146466493.21,2
2022-01-17,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",7.35372256,6.211308086,8.496137034,2
2022-01-17,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0,0,0,2
2022-01-17,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2022-01-17,"STEP Aire","2021/22","IAV_gc_per_day",846522692470.824,649324321383.76,1043721063557.89,2
2022-01-17,"STEP Aire","2021/22","IAV_gc_per_mL_WW",5.671577832,4.35037768,6.992777984,2
2022-01-17,"STEP Aire","2021/22","IBV_gc_per_day",0,0,0,2
2022-01-17,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2022-01-21,"ARA Werdhölzli","2021/22","IAV_gc_per_day",682148003515.633,623063043488.029,741232963543.237,2
2022-01-21,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",4.6068982365,4.207866946,5.005929527,2
2022-01-21,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0,0,0,2
2022-01-21,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2022-01-21,"STEP Aire","2021/22","IAV_gc_per_day",869304642932.771,353621069412.157,1538628205606.61,3
2022-01-21,"STEP Aire","2021/22","IAV_gc_per_mL_WW",6.18233739133333,2.514889087,10.94244551,3
2022-01-21,"STEP Aire","2021/22","IBV_gc_per_day",0,0,0,1
2022-01-21,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-01-24,"STEP Aire","2021/22","IAV_gc_per_day",1192792518599.92,1059246707092.97,1326338330106.87,2
2022-01-24,"STEP Aire","2021/22","IAV_gc_per_mL_WW",8.4711767865,7.522738428,9.419615145,2
2022-01-28,"ARA Werdhölzli","2021/22","IAV_gc_per_day",1337028374101.67,987160354795.688,1686896393407.66,2
2022-01-28,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",8.233118312,6.078710184,10.38752644,2
2022-01-28,"ARA Werdhölzli","2021/22","IBV_gc_per_day",168677514017.192,0,337355028034.384,2
2022-01-28,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",1.038677979,0,2.077355958,2
2022-01-28,"STEP Aire","2021/22","IAV_gc_per_day",838226057480.891,681802445402.646,994649669559.136,2
2022-01-28,"STEP Aire","2021/22","IAV_gc_per_mL_WW",6.191150501,5.035803306,7.346497696,2
2022-01-31,"STEP Aire","2021/22","IAV_gc_per_day",1712907346536.21,961530568070.546,2480544300013.94,3
2022-01-31,"STEP Aire","2021/22","IAV_gc_per_mL_WW",11.7953390846667,6.621244934,17.08140326,3
2022-01-31,"STEP Aire","2021/22","IBV_gc_per_day",0,0,0,2
2022-01-31,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2022-02-04,"ARA Werdhölzli","2021/22","IAV_gc_per_day",613978674571.754,0,1227957349143.51,2
2022-02-04,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",4.063655545,0,8.12731109,2
2022-02-04,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0,0,0,2
2022-02-04,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2022-02-04,"STEP Aire","2021/22","IAV_gc_per_day",1100363243070,986481140952.45,1214245345187.55,2
2022-02-04,"STEP Aire","2021/22","IAV_gc_per_mL_WW",8.335138,7.47249283,9.19778317,2
2022-02-06,"ARA Werdhölzli","2021/22","IAV_gc_per_day",780217968286.741,0,1560435936573.48,2
2022-02-06,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",5.493477445,0,10.98695489,2
2022-02-06,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0,0,0,2
2022-02-06,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2022-02-07,"ARA Werdhölzli","2021/22","IAV_gc_per_day",930726284103.877,623083331788.994,1238369236418.76,2
2022-02-07,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",3.097803157,2.073853017,4.121753297,2
2022-02-07,"ARA Werdhölzli","2021/22","IBV_gc_per_day",309586790114.965,0,619173580229.93,2
2022-02-07,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",1.030419955,0,2.06083991,2
2022-02-07,"STEP Aire","2021/22","IAV_gc_per_day",0,0,0,1
2022-02-07,"STEP Aire","2021/22","IAV_gc_per_mL_WW",0,0,0,1
2022-02-11,"STEP Aire","2021/22","IAV_gc_per_day",1636107148663.32,1048288259301.24,2063209149866.15,4
2022-02-11,"STEP Aire","2021/22","IAV_gc_per_mL_WW",10.98390217625,7.037617128,13.85122453,4
2022-02-11,"STEP Aire","2021/22","IBV_gc_per_day",0,0,0,2
2022-02-11,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2022-02-14,"ARA Werdhölzli","2021/22","IAV_gc_per_day",0,0,0,2
2022-02-14,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",0,0,0,2
2022-02-14,"ARA Werdhölzli","2021/22","IBV_gc_per_day",500026402459.211,0,1000052804918.42,2
2022-02-14,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",3.1609049195,0,6.321809839,2
2022-02-14,"STEP Aire","2021/22","IAV_gc_per_day",1251493783772.25,1183713170285.1,1319274397259.4,2
2022-02-14,"STEP Aire","2021/22","IAV_gc_per_mL_WW",7.198698785,6.808818926,7.588578644,2
2022-02-18,"ARA Werdhölzli","2021/22","IAV_gc_per_day",874764723637.026,704272081423.482,1045257365850.57,2
2022-02-18,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",5.1318204115,4.131622761,6.132018062,2
2022-02-18,"ARA Werdhölzli","2021/22","IBV_gc_per_day",176064874152.399,0,352129748304.797,2
2022-02-18,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",1.032887233,0,2.065774466,2
2022-02-18,"STEP Aire","2021/22","IAV_gc_per_day",1883728982095.72,992002784233.209,3099922768459.82,4
2022-02-18,"STEP Aire","2021/22","IAV_gc_per_mL_WW",13.282440415,6.994752429,21.85799542,4
2022-02-18,"STEP Aire","2021/22","IBV_gc_per_day",0,0,0,2
2022-02-18,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2022-02-21,"ARA Werdhölzli","2021/22","IAV_gc_per_day",2182131962163.01,1652479824291.62,2711784100034.4,2
2022-02-21,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",8.4540946515,6.402097163,10.50609214,2
