"","date","region_nr","measuring_period","pathogen","total_cnslt"
"133",2021-03-01,5,"2020/21","RSV",0
"134",2021-03-01,6,"2020/21","RSV",0
"135",2021-03-08,1,"2020/21","RSV",0
"136",2021-03-08,2,"2020/21","RSV",0
"137",2021-03-08,3,"2020/21","RSV",0
"138",2021-03-08,4,"2020/21","RSV",0
"139",2021-03-08,5,"2020/21","RSV",0
"140",2021-03-08,6,"2020/21","RSV",0
"141",2021-03-15,1,"2020/21","RSV",0
"142",2021-03-15,2,"2020/21","RSV",0
"143",2021-03-15,4,"2020/21","RSV",0
"144",2021-03-15,5,"2020/21","RSV",0
"145",2021-03-15,6,"2020/21","RSV",0
"146",2021-03-22,1,"2020/21","RSV",0
"147",2021-03-22,2,"2020/21","RSV",0
"148",2021-03-22,3,"2020/21","RSV",0
"149",2021-03-22,4,"2020/21","RSV",0
"150",2021-03-22,5,"2020/21","RSV",0
"151",2021-03-22,6,"2020/21","RSV",0
"152",2021-03-29,1,"2020/21","RSV",0
"153",2021-03-29,2,"2020/21","RSV",0
"154",2021-03-29,4,"2020/21","RSV",0
"155",2021-03-29,5,"2020/21","RSV",0
"156",2021-04-05,1,"2020/21","RSV",0
"157",2021-04-05,2,"2020/21","RSV",0
"158",2021-04-05,3,"2020/21","RSV",0
"159",2021-04-05,4,"2020/21","RSV",0
"160",2021-04-05,5,"2020/21","RSV",0
"161",2021-04-05,6,"2020/21","RSV",0
"162",2021-04-12,1,"2020/21","RSV",0
"163",2021-04-12,2,"2020/21","RSV",0
"164",2021-04-12,4,"2020/21","RSV",0
"165",2021-04-12,5,"2020/21","RSV",0
"166",2021-04-12,6,"2020/21","RSV",0
"167",2021-04-19,1,"2020/21","RSV",0.777777777777778
"168",2021-04-19,2,"2020/21","RSV",0
"169",2021-04-19,4,"2020/21","RSV",0
"170",2021-04-19,5,"2020/21","RSV",0
"171",2021-04-19,6,"2020/21","RSV",0
"172",2021-04-26,1,"2020/21","RSV",0.777777777777778
"173",2021-04-26,2,"2020/21","RSV",0
"174",2021-04-26,3,"2020/21","RSV",0
"175",2021-04-26,4,"2020/21","RSV",0
"176",2021-04-26,5,"2020/21","RSV",0
"177",2021-04-26,6,"2020/21","RSV",0
"178",2021-05-03,1,"2020/21","RSV",2.25
"179",2021-05-03,2,"2020/21","RSV",0
"180",2021-05-03,4,"2020/21","RSV",0
"181",2021-05-03,5,"2020/21","RSV",0
"182",2021-05-03,6,"2020/21","RSV",0
"183",2021-05-10,1,"2020/21","RSV",1
"184",2021-05-10,2,"2020/21","RSV",0
"185",2021-05-10,4,"2020/21","RSV",0
"186",2021-05-10,5,"2020/21","RSV",0
"187",2021-05-10,6,"2020/21","RSV",0
"188",2021-05-17,1,"2020/21","RSV",3.375
"189",2021-05-17,2,"2020/21","RSV",0.625
"190",2021-05-17,3,"2020/21","RSV",0
"191",2021-05-17,4,"2020/21","RSV",0
"192",2021-05-17,5,"2020/21","RSV",0
"193",2021-05-17,6,"2020/21","RSV",0
"194",2021-05-24,1,"2020/21","RSV",0.166666666666667
"195",2021-05-24,4,"2020/21","RSV",0
"196",2021-05-24,5,"2020/21","RSV",0
"197",2021-05-31,1,"2020/21","RSV",0.333333333333333
"198",2021-05-31,2,"2020/21","RSV",0
"199",2021-05-31,3,"2020/21","RSV",0
"200",2021-05-31,4,"2020/21","RSV",0
"201",2021-05-31,5,"2020/21","RSV",0
"202",2021-06-07,1,"2020/21","RSV",0
"203",2021-06-07,2,"2020/21","RSV",0
"204",2021-06-07,4,"2020/21","RSV",0
"205",2021-06-07,5,"2020/21","RSV",0
"206",2021-06-07,6,"2020/21","RSV",0
"207",2021-06-14,1,"2020/21","RSV",1.75
"208",2021-06-14,2,"2020/21","RSV",3
"209",2021-06-14,3,"2020/21","RSV",0
"210",2021-06-14,4,"2020/21","RSV",0
"211",2021-06-14,5,"2020/21","RSV",0
"212",2021-06-21,1,"2020/21","RSV",0.666666666666667
"213",2021-06-21,2,"2020/21","RSV",0
"214",2021-06-21,4,"2020/21","RSV",0
"215",2021-06-21,6,"2020/21","RSV",0
"216",2021-06-28,1,"2020/21","RSV",0
"217",2021-06-28,2,"2020/21","RSV",1
"218",2021-06-28,4,"2020/21","RSV",0
"219",2021-06-28,5,"2020/21","RSV",0
"220",2021-06-28,6,"2020/21","RSV",0
"221",2021-07-05,1,"2020/21","RSV",0.222222222222222
"222",2021-07-05,2,"2020/21","RSV",0
"223",2021-07-05,3,"2020/21","RSV",0
"224",2021-07-05,5,"2020/21","RSV",0
"225",2021-07-05,6,"2020/21","RSV",0
"226",2021-07-12,1,"2020/21","RSV",0
"227",2021-07-12,2,"2020/21","RSV",3.33333333333333
"228",2021-07-12,3,"2020/21","RSV",0
"229",2021-07-12,4,"2020/21","RSV",0
"230",2021-07-12,5,"2020/21","RSV",5.66666666666667
"231",2021-07-12,6,"2020/21","RSV",4
"232",2021-07-19,1,"2020/21","RSV",0
"233",2021-07-19,2,"2020/21","RSV",4
"234",2021-07-19,4,"2020/21","RSV",0
"235",2021-07-19,5,"2020/21","RSV",0
"236",2021-07-19,6,"2020/21","RSV",2.5
"237",2021-07-26,2,"2020/21","RSV",3
"238",2021-07-26,4,"2020/21","RSV",0
"239",2021-08-02,1,"2021/22","RSV",0.428571428571429
"240",2021-08-02,2,"2021/22","RSV",0.75
"241",2021-08-02,6,"2021/22","RSV",0
"242",2021-08-09,1,"2021/22","RSV",0
"243",2021-08-09,2,"2021/22","RSV",0
"244",2021-08-09,4,"2021/22","RSV",0
"245",2021-08-09,6,"2021/22","RSV",0
"246",2021-08-16,1,"2021/22","RSV",0.666666666666667
"247",2021-08-16,2,"2021/22","RSV",3.42857142857143
"248",2021-08-16,4,"2021/22","RSV",0
"249",2021-08-23,1,"2021/22","RSV",1.06666666666667
"250",2021-08-23,2,"2021/22","RSV",1.8
"251",2021-08-23,4,"2021/22","RSV",0
"252",2021-08-23,5,"2021/22","RSV",4.22222222222222
"253",2021-08-23,6,"2021/22","RSV",0
"254",2021-08-30,1,"2021/22","RSV",0.6
"255",2021-08-30,2,"2021/22","RSV",0
"256",2021-08-30,4,"2021/22","RSV",0
"257",2021-08-30,5,"2021/22","RSV",0
"258",2021-08-30,6,"2021/22","RSV",0
"259",2021-09-06,1,"2021/22","RSV",0
"260",2021-09-06,2,"2021/22","RSV",1
"261",2021-09-06,4,"2021/22","RSV",0
"262",2021-09-06,5,"2021/22","RSV",0
"263",2021-09-06,6,"2021/22","RSV",0
"264",2021-09-13,1,"2021/22","RSV",0
"265",2021-09-13,2,"2021/22","RSV",0
"266",2021-09-13,3,"2021/22","RSV",0
"267",2021-09-13,4,"2021/22","RSV",0
"268",2021-09-13,5,"2021/22","RSV",0
"269",2021-09-13,6,"2021/22","RSV",0
"270",2021-09-20,1,"2021/22","RSV",0
"271",2021-09-20,2,"2021/22","RSV",0
"272",2021-09-20,4,"2021/22","RSV",0
"273",2021-09-20,5,"2021/22","RSV",0
"274",2021-09-20,6,"2021/22","RSV",0
"275",2021-09-27,1,"2021/22","RSV",0
"276",2021-09-27,2,"2021/22","RSV",0
"277",2021-09-27,4,"2021/22","RSV",0
"278",2021-09-27,5,"2021/22","RSV",0
"279",2021-09-27,6,"2021/22","RSV",0
"280",2021-10-04,1,"2021/22","RSV",0
"281",2021-10-04,2,"2021/22","RSV",0.666666666666667
"282",2021-10-04,3,"2021/22","RSV",0
"283",2021-10-04,5,"2021/22","RSV",0
"284",2021-10-04,6,"2021/22","RSV",0
