"influenza_type","date","wwtp","total_cases","measuring_period"
"A",2022-03-17,"THAL/ALTENRHEIN",4.038792552549,"2021/22"
"A",2022-03-17,"VERNIER/AIRE",190.371743167066,"2021/22"
"A",2022-03-17,"ZUERICH(WERDHOELZLI)",33.0387645651487,"2021/22"
"A",2022-03-24,"BASEL",55.803436611202,"2021/22"
"A",2022-03-24,"BIOGGIO(LUGANO)",26.95492632762,"2021/22"
"A",2022-03-24,"CHUR",3.999925187106,"2021/22"
"A",2022-03-24,"LAUPEN(SENSETAL)",5.4040963677913,"2021/22"
"A",2022-03-24,"THAL/ALTENRHEIN",0.792156049893,"2021/22"
"A",2022-03-24,"VERNIER/AIRE",125.756310152155,"2021/22"
"A",2022-03-24,"ZUERICH(WERDHOELZLI)",33.9928502962177,"2021/22"
"A",2022-03-31,"BASEL",46.6442012935865,"2021/22"
"A",2022-03-31,"BIOGGIO(LUGANO)",22.9577784268511,"2021/22"
"A",2022-03-31,"CHUR",3.999944788717,"2021/22"
"A",2022-03-31,"LAUPEN(SENSETAL)",6.2029219185513,"2021/22"
"A",2022-03-31,"THAL/ALTENRHEIN",4.743884300507,"2021/22"
"A",2022-03-31,"VERNIER/AIRE",159.624809311144,"2021/22"
"A",2022-03-31,"ZUERICH(WERDHOELZLI)",39.1509089060266,"2021/22"
"A",2022-04-07,"BASEL",60.347106591551,"2021/22"
"A",2022-04-07,"BIOGGIO(LUGANO)",18.8794876470147,"2021/22"
"A",2022-04-07,"CHUR",3.999971004058,"2021/22"
"A",2022-04-07,"LAUPEN(SENSETAL)",7.317009163525,"2021/22"
"A",2022-04-07,"THAL/ALTENRHEIN",4.159830491205,"2021/22"
"A",2022-04-07,"VERNIER/AIRE",54.6496908646701,"2021/22"
"A",2022-04-07,"ZUERICH(WERDHOELZLI)",29.6401491974514,"2021/22"
"A",2022-04-14,"BASEL",53.615894426358,"2021/22"
"A",2022-04-14,"BIOGGIO(LUGANO)",26.9770674119565,"2021/22"
"A",2022-04-14,"CHUR",5,"2021/22"
"A",2022-04-14,"LAUPEN(SENSETAL)",6.5552781071136,"2021/22"
"A",2022-04-14,"VERNIER/AIRE",49.8597081950558,"2021/22"
"A",2022-04-14,"ZUERICH(WERDHOELZLI)",23.3296239973816,"2021/22"
"A",2022-04-21,"BASEL",22.655074721754,"2021/22"
"A",2022-04-21,"BIOGGIO(LUGANO)",14.9435220072343,"2021/22"
