"sample_date","wwtp","measuring_period","measurement_type","mean"
2022-01-03,"STEP Aire","2021/22","IAV_gc_per_day",563307768779.675
2022-01-03,"STEP Aire","2021/22","IAV_gc_per_mL_WW",3.57483226366753
2022-01-03,"STEP Aire","2021/22","IBV_gc_per_day",0
2022-01-03,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0
2022-01-07,"STEP Aire","2021/22","IAV_gc_per_day",552541535399.366
2022-01-07,"STEP Aire","2021/22","IAV_gc_per_mL_WW",3.57676047798348
2022-01-07,"STEP Aire","2021/22","IBV_gc_per_day",0
2022-01-07,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0
2022-01-08,"ARA Werdhölzli","2021/22","IAV_gc_per_day",391217610254.765
2022-01-08,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",2.06158991518333
2022-01-08,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0
2022-01-08,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0
2022-01-10,"ARA Werdhölzli","2021/22","IAV_gc_per_day",663025752910.262
2022-01-10,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",2.07396463108093
2022-01-10,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0
2022-01-10,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0
2022-01-10,"STEP Aire","2021/22","IAV_gc_per_day",177500017272.402
2022-01-10,"STEP Aire","2021/22","IAV_gc_per_mL_WW",1.06168552143649
2022-01-10,"STEP Aire","2021/22","IBV_gc_per_day",181575417403.224
2022-01-10,"STEP Aire","2021/22","IBV_gc_per_mL_WW",1.08606181941912
2022-01-14,"ARA Werdhölzli","2021/22","IAV_gc_per_day",1015555665577.4
2022-01-14,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",6.11353310684941
2022-01-14,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0
2022-01-14,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0
2022-01-14,"STEP Aire","2021/22","IAV_gc_per_day",644121941298.14
2022-01-14,"STEP Aire","2021/22","IAV_gc_per_mL_WW",4.34114642056761
2022-01-14,"STEP Aire","2021/22","IBV_gc_per_day",160044923395.619
2022-01-14,"STEP Aire","2021/22","IBV_gc_per_mL_WW",1.07864427802083
2022-01-17,"ARA Werdhölzli","2021/22","IAV_gc_per_day",1186780515338.65
2022-01-17,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",7.35372255995691
