"","date","observed_incidence","CI_down_observed_incidence","CI_up_observed_incidence","smoothed_incidence","CI_down_smoothed_incidence","CI_up_smoothed_incidence","deconvolved_incidence","CI_down_deconvolved_incidence","CI_up_deconvolved_incidence","Re_estimate","CI_down_Re_estimate","CI_up_Re_estimate","Re_highHPD","Re_lowHPD","bootstrapped_CI_down_Re_estimate","bootstrapped_CI_up_Re_estimate","observation_type","influenza_type","measuring_period"
"1",2021-11-29,NA,NA,NA,NA,NA,NA,2.39745458375668,1.09916674648925,3.69574242102411,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"2",2021-11-30,NA,NA,NA,NA,NA,NA,2.81440090610095,1.4940585923382,4.1347432198637,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"3",2021-12-01,1.80249840753061,0.0378806748715856,3.56711614018964,2.36037149013252,1.07125292376403,3.64949005650101,3.29347632499459,1.87861026266429,4.70834238732488,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"4",2021-12-02,2.2861203022153,0,4.91385753877683,2.71233685522037,1.40902321264863,4.01565049779211,3.84927892942665,2.29090709389218,5.40765076496112,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"5",2021-12-03,2.76974219689999,0,7.48411168213755,3.12234012226493,1.7556878846955,4.48899235983435,4.4617063188883,2.70799709077828,6.21541554699832,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"6",2021-12-04,3.25336409158468,0,6.65851642058685,3.62670064167556,2.14630645930519,5.10709482404592,5.09047736325593,3.18789763535817,6.99305709115369,1.55093003714579,0.835825451123451,2.48340664763054,2.48340664763054,0.835825451123451,1.34195162009698,1.7599084541946,"ARA Basel","IAV","2021/22"
"7",2021-12-05,3.73698598626938,0,8.01902166238024,4.19904889114795,2.54769572467183,5.85040205762407,5.75373911571757,3.8054869564112,7.70199127502394,1.45907219286652,0.822802932700994,2.27458610447618,2.27458610447618,0.822802932700994,1.27816530004884,1.63997908568421,"ARA Basel","IAV","2021/22"
"8",2021-12-06,4.22060788095407,0.622761317788185,7.81845444411995,4.80084755399583,2.99746673035389,6.60422837763777,6.45400343054293,4.38580348763952,8.52220337344635,1.40225335729123,0.821788782198863,2.13527408970949,2.13527408970949,0.821788782198863,1.23845841117144,1.56604830341102,"ARA Basel","IAV","2021/22"
"9",2021-12-07,4.70422977563876,0,9.98028711714488,5.44244695450079,3.57126139640997,7.31363251259161,6.99065489111369,4.81148291297836,9.16982686924903,1.34933575367721,0.815281115355224,2.0157466812247,2.0157466812247,0.815281115355224,1.19281350904719,1.50585799830723,"ARA Basel","IAV","2021/22"
"10",2021-12-08,5.18785167032345,1.28983322625849,9.08587011438841,6.13030594617278,4.13898303001624,8.12162886232932,7.45789751133199,5.13826551200682,9.77752951065716,1.29466985634703,0.800830554166459,1.90520627929653,1.90520627929653,0.800830554166459,1.13675256069526,1.45258715199879,"ARA Basel","IAV","2021/22"
"11",2021-12-09,5.67147356500814,0,11.6351840214256,6.68961194696964,4.59120221224105,8.78802168169822,7.88918175299836,5.36943772447897,10.4089257815178,1.24037870023352,0.780785138774568,1.80462922521787,1.80462922521787,0.780785138774568,1.0824538679526,1.39830353251445,"ARA Basel","IAV","2021/22"
"12",2021-12-10,7.06612640668129,0,18.6613759338533,7.19058540025661,4.97151754422075,9.40965325629247,8.1216133184659,5.4539980374611,10.7892285994707,1.18922091372256,0.758039125109684,1.71593131423773,1.71593131423773,0.758039125109684,1.04183325549936,1.33660857194577,"ARA Basel","IAV","2021/22"
"13",2021-12-11,8.46077924835445,1.83179320755685,15.089765289152,7.65697388422215,5.25038600927313,10.0635617591712,8.30011392154589,5.47480639313714,11.1254214499546,1.14397088743561,0.735591214115882,1.64107569645636,1.64107569645636,0.735591214115882,1.00922928953126,1.27871248533997,"ARA Basel","IAV","2021/22"
"14",2021-12-12,9.8554320900276,2.43607823785493,17.2747859422003,7.94238851455448,5.38198285986328,10.5027941692457,8.47329200955043,5.57496475934995,11.3716192597509,1.10561522007655,0.715045915498057,1.57993208972672,1.57993208972672,0.715045915498057,0.983289774008766,1.22794066614433,"ARA Basel","IAV","2021/22"
"15",2021-12-13,11.2500849317008,4.15954868034298,18.3406211830585,8.16563298912434,5.44570534260075,10.8855606356479,8.49810796363344,5.60324808889328,11.3929678383736,1.07448171950387,0.697422859744915,1.53172278809927,1.53172278809927,0.697422859744915,0.962274420270055,1.18668901873769,"ARA Basel","IAV","2021/22"
"16",2021-12-14,12.6447377733739,4.01121076709966,21.2782647796482,8.37144014507918,5.55441094002597,11.1884693501324,8.41535900687134,5.47415634465049,11.3565616690922,1.04587943865187,0.679596329098502,1.48985762350891,1.48985762350891,0.679596329098502,0.939376228168167,1.15238264913557,"ARA Basel","IAV","2021/22"
"17",2021-12-15,10.8598848113808,5.03552687974507,16.6842427430166,8.44067534040143,5.59909132612152,11.2822593546813,8.2675571918724,5.36920166113071,11.1659127226141,1.01602222543743,0.658911541474874,1.44922386360355,1.44922386360355,0.658911541474874,0.911267094789687,1.12077735608517,"ARA Basel","IAV","2021/22"
"18",2021-12-16,9.07503184938778,0.208858679801605,17.941205018974,8.40786658983956,5.51087162098528,11.3048615586938,7.92284169367167,5.13888706638044,10.7067963209629,0.983061618664764,0.633987136524865,1.40747187926946,1.40747187926946,0.633987136524865,0.877338126371348,1.08878511095818,"ARA Basel","IAV","2021/22"
