"","influenza_type","date","wwtp","total_cases","measuring_period","daily_cases","date_2","is_observation"
"91",NA,2021-11-24,NA,NA,NA,0.137609929726159,NA,NA
"92","A",2021-11-25,"BASEL",0.99828568659,"2021/22",0.142612240941429,2021-11-25,TRUE
"93",NA,2021-11-26,NA,NA,NA,0.135515371256967,NA,NA
"94",NA,2021-11-27,NA,NA,NA,0.118542988279167,NA,NA
"95",NA,2021-11-28,NA,NA,NA,0.0949651384654546,NA,NA
"96",NA,2021-11-29,NA,NA,NA,0.0680518682732553,NA,NA
"97",NA,2021-11-30,NA,NA,NA,0.0410732241599956,NA,NA
"98",NA,2021-12-01,NA,NA,NA,0.0172992525831018,NA,NA
"99","A",2021-12-02,"BASEL",0,"2021/22",0,2021-12-02,TRUE
"100",NA,2021-12-03,NA,NA,NA,0,NA,NA
"101",NA,2021-12-04,NA,NA,NA,0,NA,NA
"102",NA,2021-12-05,NA,NA,NA,0,NA,NA
"103",NA,2021-12-06,NA,NA,NA,0,NA,NA
"104",NA,2021-12-07,NA,NA,NA,0.00303487024317428,NA,NA
"105",NA,2021-12-08,NA,NA,NA,0.00440885702086782,NA,NA
"106","A",2021-12-09,"BASEL",0,"2021/22",0,2021-12-09,TRUE
"107",NA,2021-12-10,NA,NA,NA,0,NA,NA
"108",NA,2021-12-11,NA,NA,NA,0,NA,NA
"109",NA,2021-12-12,NA,NA,NA,0,NA,NA
"110",NA,2021-12-13,NA,NA,NA,0,NA,NA
"111",NA,2021-12-14,NA,NA,NA,0,NA,NA
"112",NA,2021-12-15,NA,NA,NA,0,NA,NA
"113","A",2021-12-16,"BASEL",0,"2021/22",0,2021-12-16,TRUE
"114",NA,2021-12-17,NA,NA,NA,0.0556987883233378,NA,NA
"115",NA,2021-12-18,NA,NA,NA,0.124372169415288,NA,NA
"116",NA,2021-12-19,NA,NA,NA,0.195256386801583,NA,NA
"117",NA,2021-12-20,NA,NA,NA,0.257587684007956,NA,NA
"118",NA,2021-12-21,NA,NA,NA,0.300602304560137,NA,NA
"119",NA,2021-12-22,NA,NA,NA,0.31353649198386,NA,NA
"120","A",2021-12-23,"BASEL",1.999385428634,"2021/22",0.285626489804857,2021-12-23,TRUE
"121",NA,2021-12-24,NA,NA,NA,0.212648594379035,NA,NA
"122",NA,2021-12-25,NA,NA,NA,0.116539313383003,NA,NA
"123",NA,2021-12-26,NA,NA,NA,0.0257752073235458,NA,NA
"124",NA,2021-12-27,NA,NA,NA,0,NA,NA
"125",NA,2021-12-28,NA,NA,NA,0,NA,NA
"126",NA,2021-12-29,NA,NA,NA,0.070319543832461,NA,NA
"127","A",2021-12-30,"BASEL",1.99991219811,"2021/22",0.285701742587143,2021-12-30,TRUE
"128",NA,2021-12-31,NA,NA,NA,0.636381448956989,NA,NA
"129",NA,2022-01-01,NA,NA,NA,1.08868287417213,NA,NA
"130",NA,2022-01-02,NA,NA,NA,1.59649975960736,NA,NA
"131",NA,2022-01-03,NA,NA,NA,2.11372584663748,NA,NA
"132",NA,2022-01-04,NA,NA,NA,2.59425487663728,NA,NA
"133",NA,2022-01-05,NA,NA,NA,2.99198059098157,NA,NA
"134","A",2022-01-06,"BASEL",22.825577117316,"2021/22",3.26079673104514,2022-01-06,TRUE
"135",NA,2022-01-07,NA,NA,NA,3.36793238674199,NA,NA
"136",NA,2022-01-08,NA,NA,NA,3.33395804214289,NA,NA
"137",NA,2022-01-09,NA,NA,NA,3.19277952985782,NA,NA
"138",NA,2022-01-10,NA,NA,NA,2.97830268249676,NA,NA
"139",NA,2022-01-11,NA,NA,NA,2.72443333266968,NA,NA
"140",NA,2022-01-12,NA,NA,NA,2.46507731298655,NA,NA
"141","A",2022-01-13,"BASEL",15.6389831924015,"2021/22",2.23414045605736,2022-01-13,TRUE
"142",NA,2022-01-14,NA,NA,NA,2.05799573503012,NA,NA
"143",NA,2022-01-15,NA,NA,NA,1.93288468520507,NA,NA
