"date","observed_incidence","CI_down_observed_incidence","CI_up_observed_incidence","smoothed_incidence","CI_down_smoothed_incidence","CI_up_smoothed_incidence","deconvolved_incidence","CI_down_deconvolved_incidence","CI_up_deconvolved_incidence","Re_estimate","CI_down_Re_estimate","CI_up_Re_estimate","Re_highHPD","Re_lowHPD","bootstrapped_CI_down_Re_estimate","bootstrapped_CI_up_Re_estimate","observation_type","influenza_type"
2021-10-10,0,0,0,0.0114394631871595,0.0114394631871595,0.0114394631871595,0.0492134624386768,0.0492134624386768,0.0492134624386768,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-10-11,0,0,0,0.0191505794960428,0.0191505794960428,0.0191505794960428,0.069826587781602,0.069826587781602,0.069826587781602,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-10-12,0,0,0,0.0292476322534403,0.0292476322534403,0.0292476322534403,0.0940430280743168,0.0940430280743168,0.0940430280743168,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-10-13,0,0,0,0.0434662358842175,0.0434662358842175,0.0434662358842175,0.115254135472802,0.115254135472802,0.115254135472802,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-10-14,0,0,0,0.0613866630710074,0.0613866630710074,0.0613866630710074,0.131415275698259,0.131415275698259,0.131415275698259,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-10-15,0.0407463545546939,0.0407463545546939,0.0407463545546939,0.082589186496443,0.082589186496443,0.082589186496443,0.1487387809288,0.1487387809288,0.1487387809288,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-10-16,0.0814927091093878,0.0814927091093878,0.0814927091093878,0.101889789793444,0.101889789793444,0.101889789793444,0.163793183195662,0.163793183195662,0.163793183195662,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-10-17,0.122239063664082,0.122239063664082,0.122239063664082,0.117782661037476,0.117782661037476,0.117782661037476,0.16933639073838,0.16933639073838,0.16933639073838,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-10-18,0.162985418218776,0.162985418218776,0.162985418218776,0.135365379574991,0.135365379574991,0.135365379574991,0.166310527930558,0.166310527930558,0.166310527930558,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-10-19,0.203731772773469,0.203731772773469,0.203731772773469,0.151191517880854,0.151191517880854,0.151191517880854,0.156655064391251,0.156655064391251,0.156655064391251,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-10-20,0.244478127328163,0.244478127328163,0.244478127328163,0.159051182059138,0.159051182059138,0.159051182059138,0.14509311117203,0.14509311117203,0.14509311117203,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-10-21,0.285224481882857,0.285224481882857,0.285224481882857,0.159896751900104,0.159896751900104,0.159896751900104,0.131354114379673,0.131354114379673,0.131354114379673,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-10-22,0.244478127328163,0.244478127328163,0.244478127328163,0.154680607194014,0.154680607194014,0.154680607194014,0.110283281276973,0.110283281276973,0.110283281276973,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-10-23,0.203731772773469,0.203731772773469,0.203731772773469,0.147293403612224,0.147293403612224,0.147293403612224,0.0860383140840133,0.0860383140840133,0.0860383140840133,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-10-24,0.162985418218776,0.162985418218776,0.162985418218776,0.13746065388386,0.13746065388386,0.13746065388386,0.0654613037002736,0.0654613037002736,0.0654613037002736,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-10-25,0.122239063664082,0.122239063664082,0.122239063664082,0.119887023385839,0.119887023385839,0.119887023385839,0.0479638688546846,0.0479638688546846,0.0479638688546846,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-10-26,0.0814927091093877,0.0814927091093877,0.0814927091093877,0.0982135628776717,0.0982135628776717,0.0982135628776717,0.0326825793021171,0.0326825793021171,0.0326825793021171,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-10-27,0.0407463545546939,0.0407463545546939,0.0407463545546939,0.0791237834228874,0.0791237834228874,0.0791237834228874,0.0196770778029658,0.0196770778029658,0.0196770778029658,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-10-28,0,0,0,0.0618860408544313,0.0618860408544313,0.0618860408544313,0.0102523700042568,0.0102523700042568,0.0102523700042568,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-10-29,0,0,0,0.0457686910052488,0.0457686910052488,0.0457686910052488,0.00501515913479097,0.00501515913479097,0.00501515913479097,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-10-30,0,0,0,0.030732248115051,0.030732248115051,0.030732248115051,0.00240116338779709,0.00240116338779709,0.00240116338779709,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-10-31,0,0,0,0.0184439343173163,0.0184439343173163,0.0184439343173163,0.000849665982455572,0.000849665982455572,0.000849665982455572,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-11-01,0,0,0,0.0107321672856403,0.0107321672856403,0.0107321672856403,0.000159856029673399,0.000159856029673399,0.000159856029673399,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-11-02,0,0,0,0.00636653211939506,0.00636653211939506,0.00636653211939506,8.31459674737319e-06,8.31459674737319e-06,8.31459674737319e-06,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-11-03,0,0,0,0.00301598550855721,0.00301598550855721,0.00301598550855721,3.59839345981038e-06,3.59839345981038e-06,3.59839345981038e-06,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-11-04,0,0,0,0.000858002512628854,0.000858002512628854,0.000858002512628854,1.46790455870527e-06,1.46790455870527e-06,1.46790455870527e-06,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-11-05,0,0,0,7.00581911121128e-05,7.00581911121128e-05,7.00581911121128e-05,0,0,0,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-11-06,0,0,0,3.2443120315539e-05,3.2443120315539e-05,3.2443120315539e-05,2.84132876329353e-05,2.84132876329353e-05,2.84132876329353e-05,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
