"date","observed_incidence","CI_down_observed_incidence","CI_up_observed_incidence","smoothed_incidence","CI_down_smoothed_incidence","CI_up_smoothed_incidence","deconvolved_incidence","CI_down_deconvolved_incidence","CI_up_deconvolved_incidence","Re_estimate","CI_down_Re_estimate","CI_up_Re_estimate","Re_highHPD","Re_lowHPD","bootstrapped_CI_down_Re_estimate","bootstrapped_CI_up_Re_estimate","observation_type","pathogen","measuring_period"
2027-01-15,0.010770275480314,0,0.547893536144016,0.0131613763982476,0,0.278522516468612,0.00523326577962894,0,0.25998702339836,0.825734059106374,0,9.05941792076525,9.05941792076525,4.15290148668708e-25,0,2.11885559533779,4,"RSV","2022/23"
2027-01-22,0,0,0.470191317430348,0.0116932146138579,0,0.274187678692691,0.00348927725998782,0,0.254003587571293,0.780889855096471,0,8.73419972814885,8.73419972814885,3.01079990352576e-28,0,1.96675062075616,4,"RSV","2022/23"
2027-01-29,0,0,0.470191317430348,0.0089778977901458,0,0.265209816221587,0.00234917796730558,0,0.258029325187374,0.769697806332772,0,8.71299933508539,8.71299933508539,3.77080961602335e-31,0,1.91290798815695,4,"RSV","2022/23"
2027-02-05,0,0,0.470191317430348,0.00663866585335794,0,0.256600390555652,0.00159773436491522,0,0.269516212751103,0.786022711812055,0,8.95458659052421,8.95458659052421,1.63027008329689e-33,0,1.81013396448433,4,"RSV","2022/23"
2027-02-12,0,0,0.593958781864147,0.00474437019277922,0,0.250055096098742,0.0010720481096902,0,0.27473207600893,0.817754962080939,0,9.34432292674118,9.34432292674118,2.74122829918355e-35,0,1.66441935891046,4,"RSV","2022/23"
2027-02-19,0,0,0.537123260663703,0.00336386219769458,0,0.249176829130951,0.000784906666117218,0,0.274313612842874,0.855090528842148,1.55284775556228e-36,9.78379907045515,9.78379907045515,1.55284775556228e-36,0.111191518367673,1.59898953931662,4,"RSV","2022/23"
2027-02-26,0,0,0.387972251683259,0.00235364514654239,0,0.255074586800422,0.000786732952696983,0,0.275642351412157,0.894944497587562,3.29359271519337e-37,10.2444181918714,10.2444181918714,3.29359271519337e-37,0.115671662339139,1.67421733283598,4,"RSV","2022/23"
2027-03-05,0,0,0.537123260663703,0.00157470593282083,0,0.260246169181798,0.000953174941287492,0,0.280240389877653,0.93613045214066,2.71245980047429e-37,10.7164281365059,10.7164281365059,2.71245980047429e-37,0.18966521096611,1.68259569331521,4,"RSV","2022/23"
2027-03-12,0,0,0.593958781864147,0.00110262136840467,0,0.262908508825522,0.00105816606492111,0,0.278255605826479,0.971726211358626,4.86880894899497e-37,11.1225275778424,11.1225275778424,4.86880894899497e-37,0.263370500847789,1.68008192186946,4,"RSV","2022/23"
2027-03-19,0.00185969799077456,0,0.538982958654477,0.00101296826516864,0,0.265570481382353,0.00106148533564301,0,0.2654819956052,0.99337997133017,8.57208286869935e-37,11.36873260938,11.36873260938,8.57208286869935e-37,0.147424508652289,1.83933543400805,4,"RSV","2022/23"
2027-03-26,0.00273820563058831,0,0.539861466294291,0.00110750834227917,0,0.270131379504493,0.000967132723524955,0,0.245558010796251,0.998782750136319,8.85839370776761e-37,11.430474663299,11.430474663299,8.85839370776761e-37,0.0619931224718077,1.93557237780083,4,"RSV","2022/23"
2027-04-02,0.00285229753186283,0,0.59681107939601,0.00113816297048965,0,0.271073672480419,0.000842673967206196,0,0.231560817059012,0.994658925749158,5.76455763159432e-37,11.3846010359158,11.3846010359158,5.76455763159432e-37,0.0932681153496168,1.8960497361487,4,"RSV","2022/23"
2027-04-09,0.00241874830701968,0,0.472610065737368,0.0011057484390553,0,0.264199307569362,0.000729105057413571,0,0.225360868988568,0.988324277332652,2.94626708980487e-37,11.3138538739637,11.3138538739637,2.94626708980487e-37,0.154014139143392,1.82263441552191,4,"RSV","2022/23"
2027-04-16,0.00165433256848044,0,0.389626584251739,0.00101108103723133,0,0.248365521033471,0.000605375703653437,0,0.224335663770779,0.983530286343083,1.40515228009111e-37,11.2605007199415,11.2605007199415,1.40515228009111e-37,0.199994682585847,1.76706589010032,4,"RSV","2022/23"
