"","date","observed_incidence","CI_down_observed_incidence","CI_up_observed_incidence","smoothed_incidence","CI_down_smoothed_incidence","CI_up_smoothed_incidence","deconvolved_incidence","CI_down_deconvolved_incidence","CI_up_deconvolved_incidence","Re_estimate","CI_down_Re_estimate","CI_up_Re_estimate","Re_highHPD","Re_lowHPD","bootstrapped_CI_down_Re_estimate","bootstrapped_CI_up_Re_estimate","observation_type","influenza_type"
"13",2021-08-20,0,0,9.93756924992118,0,0,10.4652574127744,0,0,8.53052794330461,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"14",2021-08-21,0,0,6.20161741288829,0,0,7.99653682029872,0,0,11.4911604370692,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"15",2021-08-22,0,0,5.29775127074724,0,0,6.12924884259178,0,0,17.1348323935474,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"16",2021-08-23,0,0,5.70200430589582,0,0,5.10235370373784,0,0,19.0287116498804,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"17",2021-08-24,0,0,2.96318701813499,0,0,4.96733694500016,0,0,10.6561077675489,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"18",2021-08-25,0,0,7.19417888869663,0,0,5.26551753129581,0,0,6.08063317978422,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"19",2021-08-26,0,0,14.6450424937048,0,0,5.68456992607508,0,0,5.16019704211178,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"20",2021-08-27,0,0,12.8055333910771,0,0,6.29524174008246,0,0,4.05019150166217,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"21",2021-08-28,0,0,4.92679570508657,0,0,6.64472610682421,0,0,3.61550904210929,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"22",2021-08-29,0,0,3.32734745938534,0,0,6.69640407080571,0,0,2.76713795692068,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"23",2021-08-30,0,0,16.71379326906,0,0,6.77317047127456,0,0,2.7721437550042,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"24",2021-08-31,0,0,39.3053143270823,0,0,6.58072968241303,0,0,3.59541560584514,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"25",2021-09-01,0,0,5.40034519172242,0,0,6.04699162293271,0,0,4.87545056634418,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"26",2021-09-02,0,0,9.42880335501237,0,0,5.62267387110543,0,0,6.0383923398224,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"27",2021-09-03,0,0,7.0812686095256,0,0,5.09451580702484,0,0,5.56583034558653,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"28",2021-09-04,0,0,5.51469041024889,0,0,4.36362845712378,0,0,4.93082311024834,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"29",2021-09-05,0,0,3.76569659514367,0,0,3.8722811532043,0,0,4.86604459791634,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"30",2021-09-06,0,0,2.21036387116977,0,0,3.46642426049692,0,0,4.71148914778745,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"31",2021-09-07,0,0,1.5858687117075,0,0,3.04390116978738,0,0,4.84320367960305,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"32",2021-09-08,0,0,7.11164884352397,0,0,2.84711213015252,0,0,6.93370750630519,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"33",2021-09-09,0,0,10.6545308675441,0,0,2.90884817190832,0,0,11.1998294953467,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"34",2021-09-10,0,0,9.86472379802136,0,0,3.05416694997832,0,0,11.284700679085,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"35",2021-09-11,0,0,6.96742878664312,0,0,3.27650134683698,0,0,9.4002300399247,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
